sin2_2theta,delta_m2,coverage_0.5,coverage_0.6,coverage_0.7,coverage_0.8,coverage_0.85,coverage_0.9,coverage_0.95,coverage_0.97,coverage_0.99
-1.6551724137931036,0.10344827586206896,0.53,0.69,0.8,0.84,0.87,0.88,0.94,0.95,0.95
-1.5172413793103448,1.3448275862068966,0.48,0.54,0.6,0.71,0.84,0.87,0.9,0.91,1.0
-2.4827586206896552,2.689655172413793,0.37,0.52,0.59,0.73,0.77,0.9,0.95,0.95,0.97
-0.9655172413793105,2.689655172413793,0.51,0.57,0.71,0.76,0.8,0.84,0.96,0.97,0.98
-3.0344827586206895,2.1724137931034484,0.4,0.53,0.64,0.74,0.75,0.84,0.89,0.93,0.95
-2.896551724137931,1.3448275862068966,0.55,0.69,0.79,0.82,0.89,0.93,0.96,0.96,1.0
-1.793103448275862,0.20689655172413793,0.5,0.57,0.6,0.67,0.78,0.83,0.89,0.94,0.96
-0.5517241379310347,1.7586206896551724,0.65,0.74,0.82,0.92,0.92,0.95,0.97,0.97,0.98
-3.4482758620689653,2.896551724137931,0.55,0.63,0.72,0.88,0.93,0.95,0.97,0.98,1.0
-1.9310344827586206,0.8275862068965517,0.5,0.62,0.74,0.9,0.94,0.97,0.98,1.0,1.0
-2.0689655172413794,2.1724137931034484,0.45,0.56,0.64,0.85,0.87,0.89,0.96,0.97,0.97
-3.1724137931034484,1.6551724137931034,0.5,0.55,0.63,0.73,0.76,0.79,0.87,0.9,0.97
-1.793103448275862,2.2758620689655173,0.46,0.55,0.6,0.69,0.77,0.85,0.88,0.91,0.95
-1.9310344827586206,0.5172413793103449,0.48,0.59,0.67,0.82,0.85,0.91,0.95,0.95,0.99
-2.7586206896551726,3.0,0.42,0.52,0.66,0.8,0.82,0.9,0.92,0.95,1.0
-2.6206896551724137,1.5517241379310345,0.52,0.61,0.64,0.68,0.75,0.86,0.9,0.96,0.98
-0.27586206896551735,2.896551724137931,0.43,0.5,0.63,0.76,0.84,0.88,0.92,0.93,1.0
-3.1724137931034484,0.9310344827586207,0.5,0.61,0.71,0.8,0.84,0.87,0.91,0.95,0.97
-1.793103448275862,1.3448275862068966,0.52,0.58,0.67,0.77,0.81,0.86,0.9,0.93,0.99
-3.586206896551724,1.3448275862068966,0.59,0.69,0.73,0.82,0.82,0.86,0.96,0.97,0.99
-2.344827586206897,2.1724137931034484,0.62,0.66,0.7,0.84,0.88,0.9,0.95,0.96,1.0
-1.9310344827586206,1.7586206896551724,0.47,0.62,0.75,0.83,0.89,0.9,0.97,0.98,0.99
-1.103448275862069,0.7241379310344828,0.59,0.76,0.79,0.84,0.87,0.92,0.95,1.0,1.0
-0.4137931034482758,2.2758620689655173,0.57,0.66,0.73,0.81,0.89,0.92,0.97,0.98,0.99
-2.206896551724138,2.2758620689655173,0.57,0.63,0.79,0.91,0.93,0.96,0.97,0.98,0.98
